Algorithm,MatrixSize,Seed,Path,Length,Experiment number,Beam width,Time
Beam Search,30,1,"[0, 18, 1, 5, 20, 10, 15, 2, 25, 26, 9, 7, 17, 23, 12, 14, 4, 3, 21, 16, 8, 19, 29, 24, 13, 22, 28, 11, 6, 27, 0]",102.0,0,1,0.041698799992445856
Beam Search,30,1,"[0, 18, 1, 5, 20, 10, 15, 2, 25, 26, 9, 7, 17, 23, 12, 14, 4, 3, 21, 16, 8, 19, 29, 24, 13, 22, 28, 11, 6, 27, 0]",102.0,1,1,0.0417363999877125
Beam Search,30,1,"[0, 18, 1, 5, 20, 10, 15, 2, 25, 26, 9, 7, 17, 23, 12, 14, 4, 3, 21, 16, 8, 19, 29, 24, 13, 22, 28, 11, 6, 27, 0]",102.0,2,1,0.04180830001132563
Beam Search,30,1,"[0, 18, 1, 5, 20, 10, 15, 2, 25, 26, 9, 7, 17, 23, 12, 14, 4, 3, 21, 16, 8, 19, 29, 24, 13, 22, 28, 11, 6, 27, 0]",102.0,3,1,0.04178250004770234
Beam Search,30,1,"[0, 18, 1, 5, 20, 10, 15, 2, 25, 26, 9, 7, 17, 23, 12, 14, 4, 3, 21, 16, 8, 19, 29, 24, 13, 22, 28, 11, 6, 27, 0]",102.0,4,1,0.041862100013531744
Beam Search,30,1,"[0, 18, 1, 5, 20, 10, 15, 2, 25, 26, 7, 17, 23, 12, 14, 4, 9, 24, 13, 8, 27, 16, 6, 3, 21, 22, 28, 11, 19, 29, 0]",76.0,0,4,0.1515783999930136
Beam Search,30,1,"[0, 18, 1, 5, 20, 10, 15, 2, 25, 26, 7, 17, 23, 12, 14, 4, 9, 24, 13, 8, 27, 16, 6, 3, 21, 22, 28, 11, 19, 29, 0]",76.0,1,4,0.1510631000273861
Beam Search,30,1,"[0, 18, 1, 5, 20, 10, 15, 2, 25, 26, 7, 17, 23, 12, 14, 4, 9, 24, 13, 8, 27, 16, 6, 3, 21, 22, 28, 11, 19, 29, 0]",76.0,2,4,0.15136049996363
Beam Search,30,1,"[0, 18, 1, 5, 20, 10, 15, 2, 25, 26, 7, 17, 23, 12, 14, 4, 9, 24, 13, 8, 27, 16, 6, 3, 21, 22, 28, 11, 19, 29, 0]",76.0,3,4,0.15261680004186928
Beam Search,30,1,"[0, 18, 1, 5, 20, 10, 15, 2, 25, 26, 7, 17, 23, 12, 14, 4, 9, 24, 13, 8, 27, 16, 6, 3, 21, 22, 28, 11, 19, 29, 0]",76.0,4,4,0.15197350003290921
Beam Search,30,1,"[0, 18, 1, 5, 20, 10, 15, 2, 25, 26, 29, 24, 13, 17, 23, 12, 14, 4, 28, 11, 19, 9, 22, 27, 8, 16, 6, 3, 7, 21, 0]",84.0,0,7,0.2640093000372872
Beam Search,30,1,"[0, 18, 1, 5, 20, 10, 15, 2, 25, 26, 29, 24, 13, 17, 23, 12, 14, 4, 28, 11, 19, 9, 22, 27, 8, 16, 6, 3, 7, 21, 0]",84.0,1,7,0.2611938999616541
Beam Search,30,1,"[0, 18, 1, 5, 20, 10, 15, 2, 25, 26, 29, 24, 13, 17, 23, 12, 14, 4, 28, 11, 19, 9, 22, 27, 8, 16, 6, 3, 7, 21, 0]",84.0,2,7,0.26078620000043884
Beam Search,30,1,"[0, 18, 1, 5, 20, 10, 15, 2, 25, 26, 29, 24, 13, 17, 23, 12, 14, 4, 28, 11, 19, 9, 22, 27, 8, 16, 6, 3, 7, 21, 0]",84.0,3,7,0.261289999994915
Beam Search,30,1,"[0, 18, 1, 5, 20, 10, 15, 2, 25, 26, 29, 24, 13, 17, 23, 12, 14, 4, 28, 11, 19, 9, 22, 27, 8, 16, 6, 3, 7, 21, 0]",84.0,4,7,0.26128149998839945
Beam Search,30,1,"[0, 18, 1, 5, 20, 10, 15, 2, 25, 26, 29, 24, 13, 17, 23, 12, 14, 4, 28, 11, 19, 9, 22, 27, 8, 16, 6, 3, 7, 21, 0]",84.0,0,10,0.3710914999828674
