Algorithm,MatrixSize,Seed,Path,Length,Experiment number,Time
Beam Search,5,1,"[0, 4, 1, 3, 2, 0]",40.0,0,0.00021740002557635307
Beam Search,5,1,"[0, 4, 1, 3, 2, 0]",40.0,1,0.00019690004410222173
Beam Search,5,1,"[0, 4, 1, 3, 2, 0]",40.0,2,0.00019150000298395753
Beam Search,5,1,"[0, 4, 1, 3, 2, 0]",40.0,3,0.00019130000146105886
Beam Search,5,1,"[0, 4, 1, 3, 2, 0]",40.0,4,0.00018859998090192676
Beam Search,10,1,"[0, 2, 9, 1, 6, 5, 3, 7, 4, 8, 0]",58.0,0,0.004272599995601922
Beam Search,10,1,"[0, 2, 9, 1, 6, 5, 3, 7, 4, 8, 0]",58.0,1,0.00439890002598986
Beam Search,10,1,"[0, 2, 9, 1, 6, 5, 3, 7, 4, 8, 0]",58.0,2,0.00428930000634864
Beam Search,10,1,"[0, 2, 9, 1, 6, 5, 3, 7, 4, 8, 0]",58.0,3,0.004282000008970499
Beam Search,10,1,"[0, 2, 9, 1, 6, 5, 3, 7, 4, 8, 0]",58.0,4,0.004397199954837561
Beam Search,11,1,"[0, 1, 5, 3, 4, 6, 10, 7, 8, 2, 9, 0]",44.0,0,0.00650130002759397
Beam Search,11,1,"[0, 1, 5, 3, 4, 6, 10, 7, 8, 2, 9, 0]",44.0,1,0.0066226000199094415
Beam Search,11,1,"[0, 1, 5, 3, 4, 6, 10, 7, 8, 2, 9, 0]",44.0,2,0.00650720001431182
Beam Search,11,1,"[0, 1, 5, 3, 4, 6, 10, 7, 8, 2, 9, 0]",44.0,3,0.006647799978964031
Beam Search,11,1,"[0, 1, 5, 3, 4, 6, 10, 7, 8, 2, 9, 0]",44.0,4,0.0065876999869942665
Beam Search,12,1,"[0, 1, 7, 5, 4, 10, 9, 8, 2, 11, 6, 3, 0]",47.0,0,0.009246999979950488
Beam Search,12,1,"[0, 1, 7, 5, 4, 10, 9, 8, 2, 11, 6, 3, 0]",47.0,1,0.00923640001565218
Beam Search,12,1,"[0, 1, 7, 5, 4, 10, 9, 8, 2, 11, 6, 3, 0]",47.0,2,0.009282500017434359
Beam Search,12,1,"[0, 1, 7, 5, 4, 10, 9, 8, 2, 11, 6, 3, 0]",47.0,3,0.009102699987124652
Beam Search,12,1,"[0, 1, 7, 5, 4, 10, 9, 8, 2, 11, 6, 3, 0]",47.0,4,0.009268400026485324
