Algorithm,MatrixSize,Seed,Path,Length,Experiment number,Time
Branch and Bound,5,1,"[0, 4, 1, 3, 2, 0]",40.0,0,0.00022759998682886362
Branch and Bound,5,1,"[0, 4, 1, 3, 2, 0]",40.0,1,0.00015820004045963287
Branch and Bound,5,1,"[0, 4, 1, 3, 2, 0]",40.0,2,0.00015300000086426735
Branch and Bound,5,1,"[0, 4, 1, 3, 2, 0]",40.0,3,0.00015079998411238194
Branch and Bound,5,1,"[0, 4, 1, 3, 2, 0]",40.0,4,0.00014860002556815743
Branch and Bound,10,1,"[0, 2, 9, 1, 6, 8, 3, 7, 4, 5, 0]",56.0,0,0.017634899995755404
Branch and Bound,10,1,"[0, 2, 9, 1, 6, 8, 3, 7, 4, 5, 0]",56.0,1,0.01753479999024421
Branch and Bound,10,1,"[0, 2, 9, 1, 6, 8, 3, 7, 4, 5, 0]",56.0,2,0.01754659996367991
Branch and Bound,10,1,"[0, 2, 9, 1, 6, 8, 3, 7, 4, 5, 0]",56.0,3,0.01750379998702556
Branch and Bound,10,1,"[0, 2, 9, 1, 6, 8, 3, 7, 4, 5, 0]",56.0,4,0.01776150002842769
Branch and Bound,11,1,"[0, 1, 5, 3, 4, 6, 10, 7, 8, 2, 9, 0]",44.0,0,0.0068147999700158834
Branch and Bound,11,1,"[0, 1, 5, 3, 4, 6, 10, 7, 8, 2, 9, 0]",44.0,1,0.006959999969694763
Branch and Bound,11,1,"[0, 1, 5, 3, 4, 6, 10, 7, 8, 2, 9, 0]",44.0,2,0.007079200004227459
Branch and Bound,11,1,"[0, 1, 5, 3, 4, 6, 10, 7, 8, 2, 9, 0]",44.0,3,0.0069222000311128795
Branch and Bound,11,1,"[0, 1, 5, 3, 4, 6, 10, 7, 8, 2, 9, 0]",44.0,4,0.006952699972316623
Branch and Bound,12,1,"[0, 7, 5, 4, 10, 6, 1, 9, 8, 2, 11, 3, 0]",44.0,0,0.015018500038422644
Branch and Bound,12,1,"[0, 7, 5, 4, 10, 6, 1, 9, 8, 2, 11, 3, 0]",44.0,1,0.015219900000374764
Branch and Bound,12,1,"[0, 7, 5, 4, 10, 6, 1, 9, 8, 2, 11, 3, 0]",44.0,2,0.014809199958108366
Branch and Bound,12,1,"[0, 7, 5, 4, 10, 6, 1, 9, 8, 2, 11, 3, 0]",44.0,3,0.01501010003266856
Branch and Bound,12,1,"[0, 7, 5, 4, 10, 6, 1, 9, 8, 2, 11, 3, 0]",44.0,4,0.014932699967175722
Branch and Bound,13,1,"[0, 1, 2, 3, 5, 10, 4, 12, 9, 8, 7, 6, 11, 0]",50.0,0,0.04419719998259097
Branch and Bound,13,1,"[0, 1, 2, 3, 5, 10, 4, 12, 9, 8, 7, 6, 11, 0]",50.0,1,0.04407200001878664
