Algorithm,MatrixSize,Seed,Path,Length,Time
Branch and Bound,5,1,"[0, 4, 1, 3, 2, 0]",40.0,0.0002842370004145778
Branch and Bound,10,1,"[0, 2, 9, 1, 6, 8, 3, 7, 4, 5, 0]",56.0,0.021671309000339534
Branch and Bound,11,1,"[0, 1, 5, 3, 4, 6, 10, 7, 8, 2, 9, 0]",44.0,0.007458459999725164
Branch and Bound,12,1,"[0, 7, 5, 4, 10, 6, 1, 9, 8, 2, 11, 3, 0]",44.0,0.016043773000092187
Branch and Bound,13,1,"[0, 1, 2, 3, 5, 10, 4, 12, 9, 8, 7, 6, 11, 0]",50.0,0.04676011100036703
Branch and Bound,14,1,"[0, 6, 4, 8, 3, 10, 7, 12, 11, 9, 5, 13, 1, 2, 0]",55.0,0.17683459599993512
Branch and Bound,15,1,"[0, 7, 10, 13, 3, 4, 14, 12, 5, 8, 11, 2, 6, 9, 1, 0]",59.0,0.24768690000018978
Branch and Bound,16,1,"[0, 1, 3, 15, 11, 7, 2, 4, 10, 6, 13, 14, 9, 12, 5, 8, 0]",54.0,0.1068964309997682
Branch and Bound,17,1,"[0, 15, 7, 13, 16, 6, 12, 14, 9, 8, 10, 4, 3, 5, 2, 1, 11, 0]",63.0,1.6275655119998191
Branch and Bound,18,1,"[0, 14, 13, 2, 12, 16, 9, 3, 17, 6, 5, 7, 10, 4, 15, 8, 11, 1, 0]",59.0,1.0027866430000358
Branch and Bound,19,1,"[0, 1, 16, 8, 9, 2, 4, 6, 15, 11, 7, 12, 3, 14, 10, 5, 18, 13, 17, 0]",70.0,22.76046442400002
Branch and Bound,20,1,"[0, 18, 13, 17, 1, 15, 6, 11, 10, 19, 12, 5, 9, 3, 2, 8, 4, 7, 14, 16, 0]",60.0,1.4977691309995862
Branch and Bound,5,42,"[0, 1, 2, 3, 4, 0]",25.0,0.0001305919995502336
Branch and Bound,10,42,"[0, 1, 2, 8, 5, 7, 3, 6, 4, 9, 0]",47.0,0.00471970600028726
Branch and Bound,11,42,"[0, 1, 9, 3, 2, 6, 10, 5, 4, 8, 7, 0]",55.0,0.02273534899995866
Branch and Bound,12,42,"[0, 1, 5, 7, 2, 11, 3, 9, 6, 4, 8, 10, 0]",59.0,0.04562454099959723
Branch and Bound,13,42,"[0, 1, 7, 5, 11, 9, 2, 8, 6, 10, 4, 3, 12, 0]",55.0,0.04950026299957244
Branch and Bound,14,42,"[0, 1, 13, 10, 12, 5, 4, 2, 7, 8, 6, 3, 9, 11, 0]",58.0,0.14208112100004655
Branch and Bound,15,42,"[0, 1, 2, 4, 14, 9, 12, 11, 7, 8, 6, 13, 3, 10, 5, 0]",52.0,0.045409749999635096
Branch and Bound,16,42,"[0, 11, 15, 1, 4, 10, 12, 9, 6, 13, 8, 7, 14, 5, 2, 3, 0]",45.0,0.055900661000123364
Branch and Bound,17,42,"[0, 5, 1, 3, 4, 7, 13, 14, 2, 16, 8, 6, 10, 12, 11, 9, 15, 0]",67.0,6.309661518000212
Branch and Bound,18,42,"[0, 1, 15, 9, 8, 7, 16, 10, 14, 13, 5, 4, 2, 12, 11, 17, 6, 3, 0]",60.0,1.2890416010004628
Branch and Bound,19,42,"[0, 1, 8, 15, 12, 5, 13, 17, 4, 6, 11, 18, 2, 16, 14, 7, 9, 10, 3, 0]",56.0,4.107957557999725
